Порядковый номер,Район,Адрес,Количество видеокамер
1.401,Адмиралтейский район,"Можайская улица, дом 22",1
1.402,Адмиралтейский район,"Можайская улица, дом 28, литера Б",1
1.403,Адмиралтейский район,"Можайская улица, дом 30, литера Б",1
1.404,Адмиралтейский район,"Можайская улица, дом 33",1
1.405,Адмиралтейский район,"Можайская улица, дом 3-5",14
1.406,Адмиралтейский район,"Можайская улица, дом 38",3
1.407,Адмиралтейский район,"Можайская улица, дом 41",3
1.408,Адмиралтейский район,"Можайская улица, дом 43, литера Б",1
1.409,Адмиралтейский район,"Можайская улица, дом 49",4
1.410,Адмиралтейский район,"Можайская улица, дом 8, литера Б",1
1.411,Адмиралтейский район,"Можайская улица, дом 8, литера Б",1
1.412,Адмиралтейский район,"Московский проспект, дом 1/2",3
1.413,Адмиралтейский район,"Московский проспект, дом 10-12",11
